cpu_user,cpu_system,cpu_idle,cpu_io,mem_total,mem_used,mem_available,mem_used_percent,mem_cached_win,swap_total,swap_used,swap_free,swap_used_percent,disk_total,disk_used,disk_free,disk_used_percent,diskio_read,diskio_write,diskio_time,diskio_ms,bytes_recv_persec,bytes_sent_persec,packets_recv_persec,packets_sent_persec,err_in_received,err_out_outbound,drop_in_received,drop_out_outbound,load1,load5,load15,process_thread_win,process_total_win,process_running_win,system_label,model_tahmini
48.068006182380216,33.23029366306028,17.619783616692427,0.0,17097318400,13830119424,3267198976,80.8905765245619,1564741632.0,25165824000,2140348415,23025475585,8.5,498730004480,415146377216,83583627264,83.240706090834,60049631232,56744959488,0,0.0,10482.893244952607,3342.308023409309,41.47900208477462,42.6783949161416,0.0,0.0,0.0,0.0,6.285002569231158,6.156413548451903,4.077348464722893,4659.0,297.0,289.0,yüksek uyarı,normal
56.5015479876161,40.247678018575854,2.476780185758514,0.0,17097318400,13788053504,3309264896,80.6445384090174,1594064896.0,25165824000,2139955200,23025868800,8.5,498730004480,415144624128,83585380352,83.24035458040065,60061724160,56749932032,0,0.0,7624.929729598716,3883.907647649434,40.79587880032359,40.99585859836439,0.0,0.0,0.0,0.0,7.744467739335065,6.477758733382288,4.208935656351283,4666.0,294.0,286.0,yüksek uyarı,yüksek uyarı
57.05426356589148,33.48837209302326,8.527131782945736,0.0,17097318400,13635534848,3461783552,79.75247655211241,1600356352.0,25165824000,2133958656,23031865344,8.5,498730004480,415144558592,83585445888,83.2403414398237,60064992768,56760892928,0,0.0,4478.738913394804,2685.270335299704,35.51422926920989,36.50073563779906,0.0,0.0,0.0,0.0,7.403097371269668,6.445840585733627,4.223216761387163,4669.0,292.0,286.0,yüksek uyarı,yüksek uyarı
40.27993779160187,24.261275272161743,34.99222395023328,0.0,17097318400,13741547520,3355770880,80.37253093444174,1600729088.0,25165824000,2062131200,23103692800,8.2,498730004480,415144493056,83585511424,83.24032829924674,60146426880,56763727360,0,0.0020181634712411,11593.30223890413,5066.191084569387,45.46524456296835,45.01841169257062,0.0,0.0,0.0,0.0,7.254866077128577,6.447206353270733,4.2483282899097645,4649.0,293.0,286.0,yüksek uyarı,normal
41.835147744945566,26.438569206842924,31.2597200622084,0.0,17097318400,13727678464,3369639936,80.29141262292922,1595166720.0,25165824000,2062131200,23103692800,8.2,498730004480,415144566784,83585437696,83.24034308239581,60146746368,56765283840,0,0.0,6362.627888820565,4489.59024076384,41.30083014668595,41.70083818684756,0.0,0.0,0.0,0.0,6.294629825927588,6.268625687531328,4.212435526860721,4635.0,293.0,287.0,yüksek uyarı,normal
58.04953560371517,32.972136222910216,8.04953560371517,0.0,17097318400,13795102720,3302215680,80.68576836002539,1597677568.0,25165824000,2062131200,23103692800,8.2,498730004480,415144570880,83585433600,83.24034390368186,60147483648,56767299072,0,0.0,5311.552259730296,2824.3960430140446,37.49331006868445,37.69327438905076,0.0,0.0,0.0,0.0,9.444470120237568,6.933937976393006,4.4589346375064896,4642.0,293.0,287.0,yüksek uyarı,yüksek uyarı
54.57364341085271,31.162790697674417,13.488372093023257,0.0,17097318400,14028840960,3068477440,82.05287304002012,1622798336.0,25165824000,2062000128,23103823872,8.2,498730004480,415145082880,83584921600,83.24044656443928,60170236928,56771481088,0,0.0,31895.111491682645,9941.633468051896,68.60368127353713,65.50351491861053,0.0,0.0,0.0,0.0,10.55323886986038,7.261757199606665,4.59726298132849,4672.0,295.0,289.0,yüksek uyarı,yüksek uyarı
50.92592592592592,32.25308641975309,15.58641975308642,0.0,17097318400,14229962752,2867355648,83.2292083418181,1634811904.0,25165824000,2062000128,23103823872,8.2,498730004480,415144730624,83585273856,83.24037593383818,60186264064,56805092864,0,0.0,471293.23044050107,52300.26381803897,423.9402361678147,278.8264634196432,0.0,0.0,0.0,0.0,10.992879154425944,7.478838374759812,4.700729858978635,4670.0,295.0,289.0,yüksek uyarı,yüksek uyarı
58.678955453149,31.79723502304148,8.141321044546851,0.0,17097318400,14402555904,2694762496,84.23868332474875,1633873920.0,25165824000,2062000128,23103823872,8.2,498730004480,415146979328,83583025152,83.24082681988469,60197806592,56813989376,0,0.0007077140835102,641722.1048861769,70142.87636063529,519.2013776983061,315.04015812196474,0.0,0.0,0.0,0.0,13.063183820574352,8.010494559354344,4.909175767772344,4642.0,294.0,287.0,yüksek uyarı,yüksek uyarı
56.98924731182796,42.3963133640553,0.0,0.0,17097318400,14576439296,2520879104,85.25570475426134,1675800576.0,25165824000,2057375744,23108448256,8.2,498730004480,415159615488,83570388992,83.24336048737743,60206781952,56822984192,0,0.0012531328320802,1181093.0542221474,163145.4200070459,939.2358009575364,685.8680677095413,0.0,0.0,0.0,0.0,19.02782210748489,9.42586842850168,5.419136684911556,4662.0,293.0,288.0,yüksek uyarı,yüksek uyarı
